Summary,Priority,Severity
need more result info from scripts that build schema doc,P2,normal
p2 profiles are not managed like config info,P2,normal
Specification for IJavaElementDelta needed (1GHVW5M),P2,normal
Creating the tasks view hangs the UI thread,P2,normal
Importing external plug-ins from file system fails,P2,normal
Empty folder creation,P2,normal
NullPointerException during build,P2,normal
Preferences not working with import/export,P2,critical
2.0 deprecated method,P2,normal
Open type from a jar located inside a closed project.,P2,normal
Can't compile because eclipse says that the method is not visible,P2,critical
Wrong method invoked at runtime,P2,normal
Exported libraries and source folders,P2,normal
StackOverflowError caused by CompilationResult.quickPrioritize when importing or pasting a file,P2,major
.classpath corruption,P2,normal
Possible problem in JavaProject#findPackageFragmentRoots(IClasspathEntry),P2,normal
VerifyError not being caught in jdt core tests,P2,blocker
Index signature change isn't honoured any longer,P2,critical
[msic] Slow Down using classes with many methods,P2,critical
[misc] Eclipse cannot save or compile files in non-Java project anymore,P2,critical
JDT compiler more restrictive than javac,P2,major
[content type] ensure content types/file associations are contributed by the right plugins,P2,normal
Deadlock between AllTypes cache and setClasspathContainer,P2,critical
dynamic project references not maintained,P2,critical
[ExternalTools] selecting and building individual targets in ANT scripts,P2,enhancement
[ExternalTools] Using external tool configs in other contexts,P2,normal
Ant build stops working after terminating a build,P2,normal
"Eclipse hangs on ""Close All"" (ctrl-shift-F4 or menu item)",P2,critical
"Compare with shows ""no diffs"" before compare is complete",P2,normal
M7: CVS commands in menu do not work but context menu does,P2,normal
[Repo View] Refreshing tags automatically for all projects gives error dialog,P2,normal
[Model Sync] Error dialog on Sync with closed Project,P2,normal
[Model Sync] Misleading No Changes message,P2,normal
[Model Sync] Need some sort of warning if models are disabled,P2,normal
[Sync View] Missing tags label decoration,P2,normal
Commit progress goes to 100 right away,P2,normal
[Model Sync] Sync wizard/dropdown names,P2,normal
CVS decorators doesn't work any more...,P2,normal
[Java Sync] Update or Commit cause packages to contract,P2,normal
[Model Sync] Caching check for update seems to take a lot of time,P2,normal
[Model Sync] Wrong message on sync,P2,normal
A suspend event with STEP_END detail does not cause a switch to the debug view.,P2,normal
Debugger support for roles and activities,P2,enhancement
"[polish] ""Search for duplicate source files"" option doesn't work",P2,trivial
org.eclipse.ui.console.consoleFactories schema is bogus,P2,normal
[source lookup] disconnect from PDE source locator,P2,critical
Step keybindings not working in Ant debugger.,P2,major
F11 (Debug Last Launched) behaves wrong in 3.3m7,P2,normal
Slow to show debug drop-down,P2,normal
IProcess label not displayed in debug view,P2,normal
unable to show alternate detail panes,P2,critical
Search help dialog should have consistent scope settings,P2,normal
"We should change cvs branch to tag, for base builder",P2,normal
[perfs] Core headless startup regression starting N20090305,P2,normal
"ISearchQuery should have query isValid(), called before rerun",P2,normal
Strange message when doing file search,P2,normal
"search for ""*"" does too much work (and provides too many hits)",P2,normal
[Progress] Missing image for jobs in the progress view,P2,normal
[Doc] configurationWizards typoed as configurationWizard in example,P2,minor
[CVS] rcinfo; CVS: lines; Commit dialog does not handle commit template well,P2,normal
[CVS] missing/wrong Job label,P2,normal
cannot handle folders without etag on server side,P2,major
authentication disabled by empty password,P2,major
multiple stores on the same host leads to mismatched authInfo for synch,P2,normal
Compare With > ... does not mark Synchronize view italic (progress),P2,normal
[Model Sync] TODOs in ResourceSaveableComparison,P2,normal
WorkingSets CVS decoration shows dirty but containing projects are not dirty,P2,normal
Progressbar not updated on CVS update operation,P2,normal
[Model Sync] Cannot copy file names,P2,normal
[Model Sync] Wrong project added to sync,P2,normal
[Model Sync] Initialize job after startup should be a user job,P2,normal
[Model Sync] New folders cause multiple items,P2,normal
[Model Sync] Empty project added to uninitialized sync,P2,normal
[Model Sync] Shorten participant name in sync result,P2,normal
[Model Sync] Update job appears in progress view for uninitialized page,P2,normal
Synchronize View: Remove from View menu item missing,P2,normal
[Sync View] StorageTypedElement should not extend BufferedContent,P2,normal
core.tests.net errors in I20080415-1646,P2,major
"Using ""Show Source of Selected Element Only"" crashs Eclipse",P2,critical
Find/Replace hangs workbench,P2,critical
[validateEdit] Read only files in Java editor,P2,major
[find/replace] replace regular expression $ - Hangs,P2,critical
NPE from AbstractDocument.search,P2,major
[misc] ClassCastException in isSynchronized of FileDocumentProvider,P2,critical
[implementation] IFileBuffer.getModifcationStamp spelling,P2,normal
NPE when editing code,P2,major
[Contributions] Status line items collapse,P2,major
[misc] ArrayIndexOutOfBoundsException Initializing Quick Diff,P2,major
Find/Replace hogs cpu and hangs eclipse.,P2,normal
Does the basic text editor no longer support tab indent and highlighting,P2,critical
Error while stopping search plugin (caused by NPE),P2,normal
[implementation] IAE when reverting file,P2,major
[find/replace] IAE when matching line delimiter,P2,normal
[typing] Undo does not work in some cases,P2,major
[navigation] Request addition of emacs recenter command for text editing,P2,enhancement
Exception when cutting a method,P2,major
[content assist] Template validation is case sensitive,P2,normal
"[encoding] Editor allows encoding, that the property page doesn't",P2,normal
[navigation] Hyperlink underlined incorrectly.,P2,normal
Revert actions are not correctly updated,P2,major
AbstractDecoratedTextEditor crashes in createPartControl method,P2,normal
[implementation] TextViewer.forgetDocumentSelection() should do something useful when remembered position is deleted,P2,normal
"[wording] Unclear error message when performing ""Save As"" overwriting file already open in editor",P2,trivial
NPE in ProjectionViewer.widgetSelection2ModelSelection,P2,major
[implementation] text search spends 7% in ITextFileBufferManager.getTextFileBufferManager,P2,normal
[implementation] Random documentProvider API must die!,P2,normal
[rulers] NPE opening ruler context menu,P2,major
[preferences] Allign fields in 'Text Editors' preference page,P2,trivial
[projection] deleting after the last line of an element blindly deletes from next element,P2,major
[implementation] clean up performSaveAs(...) workaround,P2,normal
[implementation] TextViewer's widgetDisposed(...) should only call handleDispose(),P2,normal
[implementation] Put all html rendering related classes into one package and declare others as x-friends,P2,enhancement
[misc] Enhancements for the rulerColumns extension point description,P2,trivial
[painting] AnnotationPainter repaints all annotations in entire document (even nonvisible annotations) when view is horizontally scrolled over,P2,normal
[misc] Need official icon for the 'Show Whitespace' tool bar action,P2,enhancement
[misc] Text drag and drop should do nothing when target is inside selection,P2,normal
[api][navigation] Cannot resolve conflicting hyperlinking directors,P2,normal
[implementation] Adopt FileStoreEditorInput,P2,normal
[misc] backreference syntax documented incorrectly,P2,normal
[quick diff] Improve colors for Show Annotation,P2,enhancement
[api] ProjectionDocument.getProjectionMapping() leaks internal class,P2,normal
[hovering] Text Hover does not vanish after having used Ctrl key,P2,major
Remove api filters needed due to api tooling bug,P2,trivial
Graphic is disposed error in Ctrl+e editor dropdown,P2,normal
IndexOutOfBoundsException in Problems Hierarchal Mode,P2,major
Feature org.eclipse.help-1.4 missing plug-in javax.el,P2,normal
[KeyBindings] Programmatically-created commands are not available in fresh workspace,P2,normal
internal errors during update (3.1RC3),P2,critical
Share existing CVS project hangs,P2,major
[MPE] Take out workaround in MultiPageEditorPart.pageChange(int) (1GEV94I),P2,normal
[MPE] MultiPageEditorPart.removePage() does not dispose controls,P2,normal
[MPE] MultiPageEditorPart.setActivePage() doesn't send pageChange(),P2,minor
[MPE] MultiEditor does not signal inner editors closing events,P2,normal
[ViewMgmt] PageBook does not support IPostSelectionProvider (was: JavaDoc & Declaration view and fast selection changes),P2,enhancement
[MPE] getAdapter(IEditorStatusLine.class) not working for MultipageEditor,P2,normal
[MPE] MultiPageEditorPart has class cast error in pageChange,P2,normal
[ActivityMgmt] [Contributions] CompilationUnitEditor leak,P2,normal
[WorkbenchParts] Workbench throws Assertion failed is a plug-in doesn't load,P2,normal
[Markers] tasklist entries not showing up consistently,P2,normal
"[WorkbenchParts] IWorkbenchPage.openEditor() called with the activate==false, unmaximizes the current view.",P2,normal
[PresentationAPI] standalone + movable stacks should remain standalone when dragged,P2,normal
